RK,PO,E
930,2,0
931,1,0
932,4,0
933,3,0
934,1261,3
935,221,1
936,190,1
937,882,9
938,263,3
939,165,2
940,165,2
941,36,1
942,61,2
943,114,6
944,47,1
945,104,3
946,14,1
947,61,2
948,11,1
949,145,6
950,155,14
951,102,11
952,46,5
953,10,1
954,56,8
955,1,1
956,9,2
957,2,1
958,22,5
959,2,1
960,4,1
961,12,3
962,0,1
963,14,2
964,12,2
965,20,0
966,9,0
967,1,0
968,13,0
969,39,0
970,3,0
971,2,0
972,0,0
973,9,0
974,1,0
975,2,0
976,1,0
977,54,0
978,17,0
979,0,0
980,5,0
981,1,0
982,1,0
983,992,4
984,1240,6
985,54,1
986,222,2
987,196,2
988,257,3
989,235,4
990,130,5
991,290,6
992,221,14
993,78,4
994,66,4
995,13,1
996,29,2
997,23,1
998,77,16
999,1,1
1000,6,5
1001,1,3
1002,5,3
1003,2,2
1004,2,3
1005,1,1
1006,1,1
1007,0,0
1008,51,0
1009,2,0
1010,1,0
1011,0,0
1012,4,0
1013,28,0
1014,1,0
1015,5,0
1016,3,0
1017,4,0
1018,0,0
1019,0,0
1020,1,0
1021,2,0
1022,6,0
1023,3,0
1024,2,0
1025,1,0
1026,0,0
1027,0,0
1028,0,0
1029,9,0
1030,6,0
1031,2,0
1032,1,0
1033,1105,2
1034,380,1
1035,1046,5
1036,258,2
1037,195,5
1038,73,1
1039,224,5
1040,50,1
1041,86,2
1042,96,2
1043,19,1
1044,172,4
1045,76,2
1046,68,9
1047,195,18
1048,55,2
1049,22,2
1050,79,4
1051,2,1
1052,1,1
1053,17,3
1054,3,1
1055,2,1
1056,0,1
1057,3,0
1058,3,0
1059,0,0
1060,3,0
1061,3,0
1062,2,0
1063,6,0
1064,2,0
1065,2,0
1066,7,0
1067,137,1
1068,1316,11
1069,105,1
1070,614,6
1071,70,2
1072,486,7
1073,209,3
1074,190,3
1075,55,1
1076,106,2
1077,98,5
1078,206,14
1079,143,4
1080,28,1
1081,8,1
1082,177,13
1083,7,1
1084,198,29
1085,18,1
1086,33,5
1087,19,2
1088,8,2
1089,11,1
1090,10,2
1091,5,3
1092,8,5
1093,1,1
1094,2,1
1095,1,1
1096,1,1
1097,2,3
1098,0,1
1099,0,1
1100,0,1
1101,0,0
1102,0,0
1103,0,0
1104,0,0
1105,0,0
1106,0,0
1107,1,0
1108,0,0
1109,1,0
1110,0,0
1111,12,0
1112,3,0
1113,0,0
1114,5,0
1115,2,0
1116,4,0
1117,0,0
1118,3,0
1119,3,0
1120,1,0
1121,3,0
1122,38,0
1123,0,0
1124,811,2
1125,240,1
1126,189,1
1127,187,1
1128,679,5
1129,286,8
1130,243,4
1131,321,6
1132,176,4
1133,29,1
1134,143,4
1135,137,7
1136,105,10
1137,229,7
1138,20,1
1139,50,2
1140,86,11
1141,6,1
1142,9,1
1143,122,8
1144,61,15
1145,1,1
1146,3,1
1147,110,18
1148,2,1
1149,4,3
1150,3,1
1151,1,1
1152,0,0
1153,0,0
1154,0,0
1155,89,0
1156,170,0
1157,1,0
1158,3,0
1159,0,0
1160,39,0
1161,3,0
1162,1,0
1163,4,0
1164,4,0
